Algorithm,Entropy,Hamming_Weight,Repeated,Size_Ratio,Encryption_Time_per_Byte,Decryption_Time_per_Byte
AES-CBC,5.420337500298146,0.492431640625,0,0.9999999999990234,0.0,0.0
AES-ECB,5.428403944932581,0.5013221153846154,0,1.0156249999990081,0.0,0.0
ChaCha20,5.4175564910524265,0.4979248046875,0,0.9999999999990234,0.0,0.0
RSA,5.460386181221285,0.5042317708333334,0,1.4999999999985352,0.0019499566405992538,0.0010624062269915695
Blowfish,5.40241589948324,0.49560546875,0,0.9999999999990234,0.0,0.0
AES-CBC,5.437863059879853,0.4932861328125,0,0.9999999999990234,0.0,0.0
AES-ECB,5.409423346555817,0.5003605769230769,0,1.0156249999990081,0.0,0.0
ChaCha20,5.409104970841177,0.4971923828125,0,0.9999999999990234,0.0,0.0
RSA,5.465536804829254,0.5028483072916666,0,1.4999999999985352,0.00092945992946534,0.0019504223018865612
Blowfish,5.4056158171005855,0.4906005859375,0,0.9999999999990234,0.0,0.0
AES-CBC,5.423574716814371,0.4991455078125,0,0.9999999999990234,0.0,0.0
AES-ECB,5.414116258403247,0.5018028846153846,0,1.0156249999990081,0.0,0.000975560396908761
ChaCha20,5.427244980214778,0.5047607421875,0,0.9999999999990234,0.0,0.0
RSA,5.4617591578843205,0.5030924479166666,0,1.4999999999985352,0.0,0.0019983854144792115
Blowfish,5.405149495041329,0.5028076171875,0,0.9999999999990234,0.0,0.0
AES-CBC,5.410798872449995,0.497314453125,0,0.9999999999990234,0.0,0.0
AES-ECB,5.422378995802495,0.503125,0,1.0156249999990081,0.0,0.0
ChaCha20,5.4126629681263845,0.505615234375,0,0.9999999999990234,0.0,0.0
RSA,5.451833843737898,0.4976399739583333,0,1.4999999999985352,0.0010565854609002286,0.001951819285748483
Blowfish,5.438068677201074,0.496337890625,0,0.9999999999990234,0.0,0.0
AES-CBC,5.41169730405938,0.505126953125,0,0.9999999999990234,0.0,0.0
AES-ECB,5.418609795951854,0.5115384615384615,0,1.0156249999990081,0.0,0.0
ChaCha20,5.430078013327277,0.5029296875,0,0.9999999999990234,0.0,0.0
RSA,5.450562773610798,0.495849609375,0,1.4999999999985352,0.0,0.0024503096938109314
Blowfish,5.398063199892585,0.504638671875,0,0.9999999999990234,0.0,0.0
AES-CBC,5.423876032480409,0.4974365234375,0,0.9999999999990234,0.0,0.0
AES-ECB,5.411919989100534,0.5042067307692307,0,1.0156249999990081,0.0,0.0
ChaCha20,5.432194525737012,0.508544921875,0,0.9999999999990234,0.0,0.0
RSA,5.45877753359272,0.4984537760416667,0,1.4999999999985352,0.0009478535503139776,0.0015464611351474916
Blowfish,5.391842324004885,0.492919921875,0,0.9999999999990234,0.0,0.0
AES-CBC,5.418057419722693,0.502685546875,0,0.9999999999990234,0.0,0.0
AES-ECB,5.423850136425574,0.4987980769230769,0,1.0156249999990081,0.0,0.0
ChaCha20,5.401629952905552,0.4991455078125,0,0.9999999999990234,0.0,0.0
RSA,5.459844748213173,0.4994303385416667,0,1.4999999999985352,0.000988598912953365,0.001576961949466119
